number,Book Title,Author,Grade,School,,,,
1,감자 좀 달라고요!,모린 퍼거스,1학년,초등학교,,,,
2,거인이 제일 좋아하는 맛,오주영,1학년,초등학교,,,,
3,긴긴 겨울잠에 폭 빠진 동물들,미셸 프란체스코니,1학년,초등학교,,,,
4,까르르 깔깔,이상교,1학년,초등학교,,,,
5,까불지 마!,강무홍,1학년,초등학교,,,,
6,꿈을 만드는 달빛 공장,존 로코,1학년,초등학교,,,,
7,나랑 밥 먹을 사람,신순재,1학년,초등학교,,,,
8,내 짝꿍이 최고야,수지 클라인,1학년,초등학교,,,,
9,노란 장화,허정윤,1학년,초등학교,,,,
10,달래네 꽃놀이,김세실,1학년,초등학교,,,,
11,독수리와 굴뚝새,제인 구달,1학년,초등학교,,,,
12,돼지왕,닉 블랜드,1학년,초등학교,,,,
13,두근두근,이석구,1학년,초등학교,,,,
14,"말해 봐, 들어 줄게",콜린 피에레,1학년,초등학교,,,,
15,맴,장현정,1학년,초등학교,,,,
16,미영이,전미화,1학년,초등학교,,,,
17,병원,네티 반 카트호벤,1학년,초등학교,,,,
18,분홍 몬스터,올가 데 디오스,1학년,초등학교,,,,
19,뼈있는 바다 생물,밥 바너,1학년,초등학교,,,,
20,사라진 다이아몬드를 찾아라!,셜리 휴즈,1학년,초등학교,,,,
21,사자가 작아졌어!,정성훈,1학년,초등학교,,,,
22,생명을 품은 바다 이야기,키아라 카르미나티,1학년,초등학교,,,,
23,생태 통로,김황,1학년,초등학교,,,,
24,세상에서 가장 소중한 너에게,에이미 크루즈 로젠탈,1학년,초등학교,,,,
25,세상에서 제일 좋은 집,베아트리체 마시니,1학년,초등학교,,,,
26,세상을 놀라게 한 세잔의 사과,박수현,1학년,초등학교,,,,
27,스티나의 여름,레나 안데르손,1학년,초등학교,,,,
28,스티나의 허풍쟁이 할아버지를 찾아서,레나 안데르손,1학년,초등학교,,,,
29,씨실 공주 날실 공주,안영현,1학년,초등학교,,,,
30,"아빠, 나한테 물어봐",버나드 와버,1학년,초등학교,,,,
31,"아빠, 받아쓰기가 왜 어렵지?",노정임,1학년,초등학교,,,,
32,아빠를 버렸어요,소중애,1학년,초등학교,,,,
33,안돼 내거야,엘리센다 로카,1학년,초등학교,,,,
34,언니의 새 자전거,마쓰이 라후,1학년,초등학교,,,,
35,엄마가 오는 길,모토시타 이즈미,1학년,초등학교,,,,
36,엿서리 특공대,박상률,1학년,초등학교,,,,
37,우당탕탕! 다모여 밴드,"큰일기, 박종채",1학년,초등학교,,,,
38,우리가 꿈꾸는 자유,넬슨 만델라 외 17명,1학년,초등학교,,,,
39,우리가 도와줄게,장선환,1학년,초등학교,,,,
40,우리는 소중한 친구,에릭 바튀,1학년,초등학교,,,,
41,이상한 분실물 보관소,김영진,1학년,초등학교,,,,
42,절반 줘,야마시타 하루오,1학년,초등학교,,,,
43,책 읽는 유령 크니기,벤야민 좀머할더,1학년,초등학교,,,,
44,"축구치 하람이, 나이쓰!",윤여림,1학년,초등학교,,,,
45,친구란 어떤 사람일까?,채인선,1학년,초등학교,,,,
46,탄 빵,이나래,1학년,초등학교,,,,
47,팥죽 호랑이와 일곱 녀석,최은옥,1학년,초등학교,,,,
48,한가위만 같아라,무돌,1학년,초등학교,,,,
49,홍동지의 탄생,우봉규,1학년,초등학교,,,,
50,희망의 샘물,에릭 월터스,1학년,초등학교,,,,
51,걱정 지우개,서석영,2학년,초등학교,,,,
52,건강을 책임지는 책,채인선,2학년,초등학교,,,,
53,공부 잘하게 해 주는 빵,김리라,2학년,초등학교,,,,
54,나도 서서 눌 테야,이 향안,2학년,초등학교,,,,
55,나의 보물 1호는 바로 나야!,김하늬,2학년,초등학교,,,,
56,나토비가 나타났다,김리라,2학년,초등학교,,,,
57,놀이기구를 타면 왜 어지러울까?,패트리샤 맥네어,2학년,초등학교,,,,
58,누가 우리 엄마예요?,브리기테 엔드레스,2학년,초등학교,,,,
59,늙은 쥐와 할아버지,이상교,2학년,초등학교,,,,
60,도둑맞은 다이아몬드,데이비드 A. 애들러,2학년,초등학교,,,,
61,두근두근 걱정대장,우미옥,2학년,초등학교,,,,
62,뜨개질하는 소년,크레이그 팜랜즈,2학년,초등학교,,,,
63,마녀의 슈크림,오카다 준,2학년,초등학교,,,,
64,마른하늘에 날벼락 치는 변덕쟁이 날씨,안느 클레르 레베크,2학년,초등학교,,,,
65,멋진 화요일,데이지 므라즈코바,2학년,초등학교,,,,
66,물방울 콘테스트,마일두,2학년,초등학교,,,,
67,박상구의 좋은 점 찾기,신채연,2학년,초등학교,,,,
68,백년손님,이영아,2학년,초등학교,,,,
69,벌집이 너무 좁아!,안드레스 피 안드레우,2학년,초등학교,,,,
70,별난 요리사의 행복 레시피,정설희,2학년,초등학교,,,,
71,부글부글 끓다가 펑 터진 화산,프랑수아즈 로랑,2학년,초등학교,,,,
72,분홍이 어때서,하신하,2학년,초등학교,,,,
73,사라진 트로피,데이비드 A. 애들러,2학년,초등학교,,,,
74,산이 코앞으로 다가왔다,김용택,2학년,초등학교,,,,
75,삼총사가 나가신다,신순재,2학년,초등학교,,,,
76,생명을 가꾸는 나무,케이트 메스너,2학년,초등학교,,,,
77,선생님도 한번 봐 봐요,이숙현,2학년,초등학교,,,,
78,수학이 쉬워지는 곱셈구구,로지 디킨스,2학년,초등학교,,,,
79,순이와 빨간 상자,고우리,2학년,초등학교,,,,
80,스마트폰과 절교한 날,유순희,2학년,초등학교,,,,
81,식물은 어떻게 겨울나기를 하나요?,한영식,2학년,초등학교,,,,
82,아름다운 철도원과 고양이 역장,박상재,2학년,초등학교,,,,
83,어느 날 목욕탕에서,박현숙,2학년,초등학교,,,,
84,어떤 날,성영란,2학년,초등학교,,,,
85,여행,신형건,2학년,초등학교,,,,
86,영원의 꽃,마이클 로렌,2학년,초등학교,,,,
87,우리 집 욕실이 궁금해?,크리스티나 립카-슈타르바워,2학년,초등학교,,,,
88,울타리를 넘는 방법이 하나일까요?,야엘 비란,2학년,초등학교,,,,
89,위대한 건축가 안토니오 가우디의 하루,포 에스트라다,2학년,초등학교,,,,
90,이웃의 이웃에는 누가 살지?,채인선,2학년,초등학교,,,,
91,작은 발견,이보나 흐미엘레프스카,2학년,초등학교,,,,
92,친절한 거인,마이클 모퍼고,2학년,초등학교,,,,
93,"캠, 카메라를 도둑 맞다",데이비드 A. 애들러,2학년,초등학교,,,,
94,토끼 뿅이 동화 쓴 날,후나자키 요시히코,2학년,초등학교,,,,
95,풀꽃,"위정현, 윤문영",2학년,초등학교,,,,
96,풋사랑,곽미영,2학년,초등학교,,,,
97,한강을 따라가요,박승규,2학년,초등학교,,,,
98,한밤의 선물,홍순미,2학년,초등학교,,,,
99,할머니가 또 시집간대요,김원미,2학년,초등학교,,,,
100,"고사성어의 숨은 뜻을 찾아라 1,2","김부일,박강륵",3학년,초등학교,,,,
101,공부를 안 해도,이지안,3학년,초등학교,,,,
102,과학과 문화가 보이는 다리 건너기,에르나 오슬란,3학년,초등학교,,,,
103,"그래서 이런 과학이 생겼대요 1. 지구과학, 물리",우리누리,3학년,초등학교,,,,
104,그래서 이런 맞춤법이 생겼대요,우리누리,3학년,초등학교,,,,
105,꼬마 셰프의 요리쿡 조리쿡,안젤라 윌크스,3학년,초등학교,,,,
106,꼬마 원시인 작은코 1.꼬마 매머드 두눈이,존 그랜트,3학년,초등학교,,,,
107,낡은 사진 속 이야기,천롱,3학년,초등학교,,,,
108,내 친구 네이선,메리 바,3학년,초등학교,,,,
109,내가 가게를 만든다면?,김서윤,3학년,초등학교,,,,
110,놀란 박사의 무인도 대탈출,게리 베일리,3학년,초등학교,,,,
111,늑대가 된 아이,클레망틴 보베,3학년,초등학교,,,,
112,늑대들이 사는 집,허가람,3학년,초등학교,,,,
113,단추마녀의 장난감 백화점,정란희,3학년,초등학교,,,,
114,돌담 너머 비밀의 집,오채,3학년,초등학교,,,,
115,동작대교에 버려진 검둥개 럭키,박현숙,3학년,초등학교,,,,
116,둥글둥글 지구촌 지리 이야기,박신식,3학년,초등학교,,,,
117,뚝딱뚝딱 동물 건축가들,다니엘 나사르,3학년,초등학교,,,,
118,뚱뚱 학교 황금 똥 누는 날,김현태,3학년,초등학교,,,,
119,마녀 교장과 아주 특별한 시계,김해우,3학년,초등학교,,,,
120,마야는 자연이 좋아요,울프 스베드베리,3학년,초등학교,,,,
121,물길을 만드는 아이,홍종의,3학년,초등학교,,,,
122,박물관 공룡 뼈가 수상해,데이비드 A. 애들러,3학년,초등학교,,,,
123,변덕쟁이 날씨의 비밀을 밝혀라!,이챠니,3학년,초등학교,,,,
124,북두칠성이 된 일곱 쌍둥이,서정오,3학년,초등학교,,,,
125,(바람개비 의사) 이길여,백은하,3학년,초등학교,,,,
126,사회 공부는 왜 하는걸까?,김서윤,3학년,초등학교,,,,
127,삼촌은 길박사,양연주,3학년,초등학교,,,,
128,세상을 돌고 도는 놀라운 물의 여행,맬컴 로즈,3학년,초등학교,,,,
129,수학 선생님도 궁금한 101가지 초등수학 질문사전,김남준 외 5명,3학년,초등학교,,,,
130,스토리텔링 초등 우리말 교과서 1,김일옥 외 2명,3학년,초등학교,,,,
131,신통방통 신기한 암탉,박상규,3학년,초등학교,,,,
132,심심할매의 명심보감 레시피,고향숙 • 이도현,3학년,초등학교,,,,
133,애완동물 키우기 대작전,김리리,3학년,초등학교,,,,
134,"얘들아, 신화로 글쓰기 하자!",정성현,3학년,초등학교,,,,
135,어린이를 위한 발명과 발견 교과서,스티브 파커,3학년,초등학교,,,,
136,엄마의 집 티피,강민경,3학년,초등학교,,,,
137,엘리자베스의 편지,엠마뉘엘 코소 메라드,3학년,초등학교,,,,
138,여기는 대한민국 푸른 섬 독도리입니다,장지혜,3학년,초등학교,,,,
139,와이파이를 먹어버린 펄럭 바지들,박은숙,3학년,초등학교,,,,
140,용감한 개 푸치를 찾아라,데이비드 A. 애들러,3학년,초등학교,,,,
141,용감한 리나,이경혜,3학년,초등학교,,,,
142,우리 엄마는 응우웬티기에우짱,신채연,3학년,초등학교,,,,
143,이대로가 아닌 이대로,안오일,3학년,초등학교,,,,
144,이제 집으로 가자,강진주,3학년,초등학교,,,,
145,처음 만나는 직업책 2,김향금,3학년,초등학교,,,,
146,최고를 꿈꾼 도화서 화원이야기,박정란,3학년,초등학교,,,,
147,친구는 서로를 춤추게 하는 거야!,조이 카울리,3학년,초등학교,,,,
148,평화를 전하는 발걸음 조선통신사,강응천,3학년,초등학교,,,,
149,할머니 어디 계세요?,에드먼드 림,3학년,초등학교,,,,
150,15소년 안전 표류기,강승임,4학년,초등학교,,,,
151,4만 년 전 비밀을 품은 아이,한영미,4학년,초등학교,,,,
152,개답게 살 테야!,강무홍,4학년,초등학교,,,,
153,건방이의 건방진 수련기 2,천효정,4학년,초등학교,,,,
154,검은 꽃 슬아의 꿈,이영,4학년,초등학교,,,,
155,경주로 보는 신라,안미연,4학년,초등학교,,,,
156,궁금쟁이 김 선비 우리 전통 과학에 쏙 빠졌네!,서선연,4학년,초등학교,,,,
157,귀신 선생과 공부벌레들,최은영,4학년,초등학교,,,,
158,꼬마 선장,파울 비겔,4학년,초등학교,,,,
159,"꼴찌 야구단, 기적을 이루다!",나탈리 하이드,4학년,초등학교,,,,
160,꿈꾸는 고래 아이딘,조르디 시에라,4학년,초등학교,,,,
161,나는 수요일의 소녀입니다,안미란,4학년,초등학교,,,,
162,나만 아니면 괜찮을까?,"필리스 카우프만 굿스타인,",4학년,초등학교,,,,
,,엘리자베스 버딕,,초등학교,,,,
163,내가 그런 게 아니야!,임서경,4학년,초등학교,,,,
164,눈으로 보고 손으로 만드는 한국사 유물 열아홉,안민영,4학년,초등학교,,,,
165,단군 왕검과 고조선 그리고 그 이전의 역사,어린이독서연구원,4학년,초등학교,,,,
166,동전이 사라지는 마술,케이트 이건,4학년,초등학교,,,,
167,마테마티카 수학 대탐험1,스토리베리,4학년,초등학교,,,,
168,마테마티카 수학 대탐험2,스토리베리,4학년,초등학교,,,,
169,메시,예프테 다르스키,4학년,초등학교,,,,
170,몸이 불편해도 못 할건 없어!,이리나 야시나,4학년,초등학교,,,,
171,믿거나 말거나 속담 이야기,임덕연,4학년,초등학교,,,,
172,바이러스 감염 소동,콘스탄틴 스크리프킨,4학년,초등학교,,,,
173,백두에서 한라까지 우리나라 지도 여행,조지욱,4학년,초등학교,,,,
174,백제,어린이독서연구원,4학년,초등학교,,,,
175,브뢰겔(익살과 풍자로 가득한 풍속화),이연식,4학년,초등학교,,,,
176,빨리 놀자 삼총사,채인선,4학년,초등학교,,,,
177,사랑은 인기 순이 아니야,하나가타 미쓰루,4학년,초등학교,,,,
178,세상을 움직이는 교통이야기,베로니크 코르지베,4학년,초등학교,,,,
179,수학 없는 수학,애나 웰트만,4학년,초등학교,,,,
180,쉽고 재미있게 지도 읽는 법,조 폴맨,4학년,초등학교,,,,
181,"아, 너였구나!",권영상,4학년,초등학교,,,,
182,어린이 손바느질,김리경,4학년,초등학교,,,,
183,어쩌면 인류 최초의 벽화 이야기,데이비드 젤처,4학년,초등학교,,,,
184,엄마 VS 나,이욱재,4학년,초등학교,,,,
185,엄마 사용 설명서,이토 미쿠,4학년,초등학교,,,,
186,역사의 나들목 여기는 항구,조성은,4학년,초등학교,,,,
187,예술과 과학을 융합한 천재 레오나르도 다 빈치,장-밥티스트 드 파나피유,4학년,초등학교,,,,
188,"옛 그림은 재미있다, 여기는 상상미술관",전영실,4학년,초등학교,,,,
189,"오각형 꽃, 삼각형 줄기, 육각형 눈",이윤숙,4학년,초등학교,,,,
190,우리 동네 미완성 천사,샤론 크리치,4학년,초등학교,,,,
191,우리 엄마 바꾸기,정임조,4학년,초등학교,,,,
